      z0          |          ODMax         |          ODVir           |        rvir/rmax         |      avir/amax       |     bool collapse     |      collapse time
   59873.14       |       5.0993354643     |     2.9509772697e+01     |     6.8922439881e-01     |     1.5255528130     |         True          |     4.6970058838e-03     |     1.8841552734e-03
   55067.14       |       5.0797663274     |     2.9042045596e+01     |     6.8869897747e-01     |     1.5319895171     |         True          |     1.1102230246e-15     |     1.7744214740e-03
   50646.90       |       5.0797444070     |     2.9042115599e+01     |     6.8869899925e-01     |     1.5319923309     |         True          |     1.1102230246e-15     |     1.6687031090e-03
   46581.47       |       5.0798185061     |     2.9042868917e+01     |     6.8869480488e-01     |     1.5319835892     |         True          |     1.1102230246e-15     |     1.5741950367e-03
   42842.37       |       5.0798500219     |     2.9045381010e+01     |     6.8867590064e-01     |     1.5319944319     |         True          |     1.1102230246e-15     |     1.4869778324e-03
   39403.40       |       5.0855440017     |     2.9179438030e+01     |     6.8885225001e-01     |     1.5300784269     |         True          |     7.2641077643e-03     |     1.4004516602e-03
   36240.46       |       5.1003190687     |     2.9533139692e+01     |     6.8923391005e-01     |     1.5252613538     |         True          |     1.5759375134e-03     |     1.3293457031e-03
   33331.42       |       5.0922430733     |     2.9343433975e+01     |     6.8901177154e-01     |     1.5278829813     |         True          |     4.5300387829e-03     |     1.2725830078e-03
   30655.88       |       5.1121030601     |     2.9819177931e+01     |     6.8956050302e-01     |     1.5214304379     |         True          |     4.9599334354e-04     |     1.1987304688e-03
   28195.10       |       5.0838920056     |     2.9139135642e+01     |     6.8878863518e-01     |     1.5306610117     |         True          |     5.0130395701e-03     |     1.1422729492e-03
   25931.84       |       5.0883310047     |     2.9242128649e+01     |     6.8893553536e-01     |     1.5291678623     |         True          |     1.8717941802e-03     |     1.0906982422e-03
   23850.25       |       5.0942294832     |     2.9387552271e+01     |     6.8908979098e-01     |     1.5272129912     |         True          |     2.2603839116e-03     |     1.0437011719e-03
